REGION:,COUNTRY:,REGIME TYPE:,2023 RESULT:
Sub-Saharan Africa,Gambia,Hybrid Regime,4.47
Western Europe,Turkey,Hybrid Regime,4.33
Sub-Saharan Africa,Sierra Leone,Hybrid Regime,4.32
Sub-Saharan Africa,Nigeria,Hybrid Regime,4.23
Sub-Saharan Africa,Ivory Coast,Hybrid Regime,4.22
Latin America and the Caribbean,Bolivia,Hybrid Regime,4.2
Sub-Saharan Africa,Angola,Hybrid Regime,4.18
Sub-Saharan Africa,Mauritania,Hybrid Regime,4.14
Eastern Europe and Central Asia,Kyrgyzstan,Authoritarian Regime,3.7
Middle East and North Africa,Algeria,Authoritarian Regime,3.66
Middle East and North Africa,Qatar,Authoritarian Regime,3.65
Middle East and North Africa,Lebanon,Authoritarian Regime,3.56
Sub-Saharan Africa,Mozambique,Authoritarian Regime,3.51
Middle East and North Africa,Kuwait,Authoritarian Regime,3.5
Middle East and North Africa,Palestine,Authoritarian Regime,3.47
Sub-Saharan Africa,Ethiopia,Authoritarian Regime,3.37
Sub-Saharan Africa,Rwanda,Authoritarian Regime,3.3
Asia and Australasia,Pakistan,Authoritarian Regime,3.25
Middle East and North Africa,Oman,Authoritarian Regime,3.12
Eastern Europe and Central Asia,Kazakhstan,Authoritarian Regime,3.08
Asia and Australasia,Cambodia,Authoritarian Regime,3.05
Middle East and North Africa,Jordan,Authoritarian Regime,3.04
Sub-Saharan Africa,Comoros,Authoritarian Regime,3.04
Sub-Saharan Africa,Zimbabwe,Authoritarian Regime,3.04
Middle East and North Africa,United Arab Emirates,Authoritarian Regime,3.01
Sub-Saharan Africa,Togo,Authoritarian Regime,2.99
Middle East and North Africa,Egypt,Authoritarian Regime,2.93
Middle East and North Africa,Iraq,Authoritarian Regime,2.88
Latin America and the Caribbean,Haiti,Authoritarian Regime,2.81
Eastern Europe and Central Asia,Azerbaijan,Authoritarian Regime,2.8
Sub-Saharan Africa,Republic of Congo,Authoritarian Regime,2.79
Sub-Saharan Africa,Eswatini,Authoritarian Regime,2.78
Sub-Saharan Africa,Burkina Faso,Authoritarian Regime,2.73
Sub-Saharan Africa,Djibouti,Authoritarian Regime,2.7
Latin America and the Caribbean,Cuba,Authoritarian Regime,2.65
Asia and Australasia,Vietnam,Authoritarian Regime,2.62
Sub-Saharan Africa,Mali,Authoritarian Regime,2.58
Sub-Saharan Africa,Cameroon,Authoritarian Regime,2.56
Middle East and North Africa,Bahrain,Authoritarian Regime,2.52
Sub-Saharan Africa,Guinea-Bissau,Authoritarian Regime,2.45
Sub-Saharan Africa,Niger,Authoritarian Regime,2.37
Latin America and the Caribbean,Venezuela,Authoritarian Regime,2.31
Latin America and the Caribbean,Nicaragua,Authoritarian Regime,2.26
Eastern Europe and Central Asia,Russia,Authoritarian Regime,2.22
Sub-Saharan Africa,Guinea-Bissau,Authoritarian Regime,2.21
Sub-Saharan Africa,Gabon,Authoritarian Regime,2.18
Sub-Saharan Africa,Burundi,Authoritarian Regime,2.13
Asia and Australasia,China,Authoritarian Regime,2.12
Eastern Europe and Central Asia,Uzbekistan,Authoritarian Regime,2.12
Middle East and North Africa,Saudi Arabia,Authoritarian Regime,2.08
Eastern Europe and Central Asia,Belarus,Authoritarian Regime,1.99
Sub-Saharan Africa,Eritrea,Authoritarian Regime,1.97
Middle East and North Africa,Iran,Authoritarian Regime,1.96
Middle East and North Africa,Yemen,Authoritarian Regime,1.95
Eastern Europe and Central Asia,Tajikistan,Authoritarian Regime,1.94
Sub-Saharan Africa,Equatorial Guinea,Authoritarian Regime,1.92
Middle East and North Africa,Libya,Authoritarian Regime,1.78
Middle East and North Africa,Sudan,Authoritarian Regime,1.76
Asia and Australasia,Laos,Authoritarian Regime,1.71
Sub-Saharan Africa,Democratic Republic of Congo,Authoritarian Regime,1.68
Sub-Saharan Africa,Chad,Authoritarian Regime,1.67
Eastern Europe and Central Asia,Turkmenistan,Authoritarian Regime,1.66
Middle East and North Africa,Syria,Authoritarian Regime,1.43
Sub-Saharan Africa,Central African Republic,Authoritarian Regime,1.18
Asia and Australasia,North Korea,Authoritarian Regime,1.08
Asia and Australasia,Myanmar,Authoritarian Regime,0.85
Asia and Australasia,Afghanistan,Authoritarian Regime,0.26
