HDI rank,Country,Human Development Index (HDI) 2023 ,Life expectancy at birth 2023,Expected years of schooling 2023,Mean years of schooling 2023,Gross national income (GNI) per capita 2023 (2021$),GNI per capita rank minus HDI rank 2023,HDI rank delta 2022
172,Malawi,0.517,67.353,9.902591705,5.243740082,1633.692615,12,173
173,Benin,0.515,60.774,10.4464798,3.194200039,3805.527516,-13,174
174,Guinea-Bissau,0.514,64.085,10.63534621,3.673035,2403.059237,2,175
175,Djibouti,0.513,65.987,6.207350016,3.95041503,6367.606026,-36,176
176,Sudan,0.511,66.331,8.620371878,3.962,2810.312012,-4,171
177,Liberia,0.51,62.163,10.46585369,6.169891955,1537.85939,9,177
178,Eritrea,0.503,68.624,7.336672297,5.09136442,2029.070062,1,178
179,Guinea,0.5,60.74,10.39330626,2.486339025,3494.347723,-16,179
180,Ethiopia,0.497,67.315,9.217651571,2.402539813,2795.506984,-7,181
181,Afghanistan,0.496,66.035,10.79014324,2.514790058,1971.549458,-1,180
182,Mozambique,0.493,63.611,10.84830885,4.590489864,1355.767076,7,182
183,Madagascar,0.487,63.632,9.062584503,4.592520237,1655.764683,0,183
184,Yemen,0.47,69.295,7.494902735,5.484149933,1018.20058,7,184
185,Sierra Leone,0.467,61.786,9.064124575,3.535297609,1713.727772,-3,185
186,Burkina Faso,0.459,61.092,8.733340263,2.266550064,2390.527778,-9,186
187,Burundi,0.439,63.651,9.829423879,3.473935556,858.9155681,5,187
188,Mali,0.419,60.439,7.011331533,1.629999995,2341.588118,-10,188
188,Niger,0.419,61.183,8.308919801,1.412289341,1590.18796,-3,189
190,Chad,0.416,55.069,8.347590231,2.334984892,1748.000992,-9,189
191,Central African Republic,0.414,57.408,7.435767778,3.989431459,1099.860681,-1,..
192,Somalia,0.404,58.816,7.486165162,1.899999976,1474.738459,-5,192
193,South Sudan,0.388,57.617,5.634770141,5.730000019,688.3472771,0,191
